barcode ,,row ,tiller count,gs39,   gs55,GS65,flag leaf senescence,plant wt,stem ht,top internodeL,tiller no,1? earLength,2nd ear L,3rd ear L,1?fg lf L,1?ear wt,other ear wt,disease_score1,disease_score2
W8-127112,MEL 117-2,F6,<,120,126,136,166,61,64.5,30.5,17,10.5,12.5,11.5,31.5,4.38,32.5,1,2
W8-128111,MEL 118-1a,F2,>,139,153,160,175,66,64.5,32.5,18,12.5,12,12,29.5,3.04,25.9,3,3
W8-128112,MEL 118-1a,C6,>,134,145,158,171,88,57,33,22,12,11,12,32.5,3.09,39.0,1,3
W8-129111,MEL 119-1,B4,>,123,129,133,175,56,39.5,21.5,18,9,9,8.5,24.5,3.22,33.6,1,2
W8-129112,MEL 119-1,F7,<,123,133,140,178,46,35,21.5,15,8.5,8.5,9,28.5,3.00,26.3,2,1
W8-130111,MEL 120-3,B4,>,125,133,140,171,47,42.5,25,15,9,8.5,8.5,32.5,3.26,25.7,1,1
W8-130112,MEL 120-3,E7,>,127,136,143,175,68,48,25.5,18,9.5,9,9,30,4.10,39.1,2,2
W8-131111,MEL 121-1a,B3,>,130,141,150,178,68,61.5,30,18,11.5,12,11.5,27.5,3.88,36.3,2,1
W8-131112,MEL 121-1a,F6,<,132,143,154,178,88,64,30,16,12.5,13,13,28.5,4.31,37.4,1,1
W8-132111,MEL 122-1a,F3,<,134,145,147,185,78,57,24.5,19,9.5,9.5,9.5,23.5,3.62,30.3,1,1
W8-132112,MEL 122-1a,B7,>,130,136,143,166,76,49.5,25.5,22,11,10.5,11,31.5,3.93,41.8,1,1
W8-133111,MEL 123-1,B2,<,125,132,138,180,64,49,20,15,9.5,9.5,10,25.5,4.64,38.7,1,2
W8-133112,MEL 123-1,E5,<,109,119,129,150,92,62.5,33.5,15,9,11.5,12,32.5,4.52,53.1,1,1
W8-134111,MEL 124-2,C1,8,116,120,132,166,101,66.5,34,18,11.5,10.5,10,39,5.73,55.3,1,1
W8-134112,MEL 124-2,G4,>,123,133,143,175,109,72.5,34,19,11,10.5,11,39.5,4.88,54.0,1,2
W8-135111,MEL 125-1b,A1,20,139,151,166,199,57,28,20.5,22,13,12.5,11.5,27.5,2.38,29.1,0,0
W8-135112,MEL 125-1b,D4,>,139,147,160,201,60,25.5,18.5,22,14,12.5,13.5,29,3.11,29.0,0,0
W8-136111,MEL 126-1,B1,14,134,144,152,189,67,45,24,22,13.5,12.5,13,25,4.19,33.5,1,1
W8-136112,MEL 126-1,E4,>,137,147,,185,47,27,17,24,13,11.5,11,30.5,3.39,20.2,2,1
W8-137111,MEL 127-1a,B3,>,116,125,129,,88,57,26.5,20,9.5,9,9.5,33,4.00,55.2,1,1
W8-137112,MEL 127-1a,F6,<,120,126,133,166,74,60,26,21,9.5,10,10,33.5,3.82,43.7,1,0
W8-138111,MEL 128-1,A3,>,123,130,133,171,70,57.5,23.5,13,10,10,10,28.5,4.66,42.5,1,1
W8-138112,MEL 128-1,D6,<,123,131,140,171,84,49,23,17,10,10,10,34,4.72,50.4,2,2
W8-139111,MEL 129-1,A4,<,109,117,136,152,78,45.5,25.5,22,8.5,11,10.5,32.5,2.66,45.3,2,2
